frame,gt_count,pred_count,tp,fp,fn,id_switches,mean_risk_score,max_risk_score,medium_or_high_risk_detections
359,5,5,4,1,1,1,0.3311519070699022,0.3674744504714093,0
360,5,6,4,2,1,0,0.33890770727917524,0.373169213145086,0
361,5,5,4,1,1,0,0.3721057434898823,0.5422503125561876,1
362,5,5,4,1,1,0,0.36908361989557587,0.5028777288333108,1
363,5,5,4,1,1,0,0.3443286059961731,0.4755140736434742,1
364,5,5,4,1,1,0,0.36549065901521904,0.4955223636573416,1
365,4,5,3,2,1,0,0.32934580957005954,0.3748207473990623,0
366,4,4,3,1,1,0,0.3288094780050845,0.4067847792658381,0
367,4,5,3,2,1,0,0.34931059715391033,0.3943038330783938,0
368,4,6,3,3,1,0,0.3802286831987017,0.4427511147982339,0
369,4,5,3,2,1,0,0.3468841080937157,0.3738164442130561,0
370,4,4,3,1,1,0,0.378292684894319,0.5242295661383352,1
371,4,5,3,2,1,0,0.35644171389609014,0.4318154820194177,0
372,4,4,3,1,1,0,0.3418000747648239,0.4293465109272723,0
373,4,4,3,1,1,0,0.33730126341162503,0.4615641316471364,1
374,4,4,2,2,2,0,0.4017446989783457,0.6046893669037894,1
375,3,3,2,1,1,0,0.32932348618308743,0.3703664287266132,0
376,3,3,2,1,1,0,0.31354622529078413,0.3469626958997793,0
377,3,3,2,1,1,0,0.32360674401198003,0.3797511233179562,0
378,3,4,3,1,0,0,0.3307567605183168,0.4227457561121227,0
379,3,3,2,1,1,0,0.33424451996982074,0.3752206889254255,0
380,3,3,2,1,1,0,0.3472625561932825,0.3803751872499546,0
381,3,2,2,0,1,0,0.3397606721341345,0.3479482367880389,0
382,3,2,2,0,1,0,0.35965439415278033,0.3986655080929557,0
383,3,3,3,0,0,0,0.3219085769202921,0.3645780243384275,0
384,3,3,3,0,0,0,0.30389776230556254,0.3646911099352948,0
385,3,3,3,0,0,0,0.31202702943708543,0.3714613687241548,0
386,3,4,3,1,0,0,0.3214086264251723,0.375131319886603,0
387,3,4,3,1,0,0,0.34386157270460205,0.4290584588037206,0
388,3,4,3,1,0,0,0.35479181412818533,0.4260339053844528,0
389,3,3,3,0,0,0,0.3410517246609925,0.3744373600152916,0
390,3,4,3,1,0,0,0.3394542579911709,0.3920358111726216,0
391,3,4,3,1,0,0,0.3366804755991734,0.412461517100088,0
392,3,4,3,1,0,0,0.3593181201537863,0.4952214337628784,1
393,3,4,3,1,0,0,0.33968855092814365,0.4701002310758573,1
394,3,4,3,1,0,0,0.3335137951067352,0.4334911853935982,0
395,3,4,3,1,0,0,0.36440506794249383,0.4696988045848534,1
396,3,2,2,0,1,0,0.26538527255616995,0.2684705989785328,0
397,2,2,2,0,0,0,0.25671239206715096,0.2669749688173996,0
398,2,2,2,0,0,0,0.27049670792303837,0.2721595487613868,0
399,2,2,2,0,0,0,0.2672699421612039,0.2788288207774518,0
400,2,2,2,0,0,0,0.2803689161915142,0.3051450140194095,0
401,2,2,2,0,0,0,0.3436959600503917,0.39654414019468,0
402,2,2,2,0,0,0,0.3035153944149981,0.3373170022908898,0
403,2,3,2,1,0,0,0.34358901345799553,0.4073507585156917,0
404,2,2,2,0,0,0,0.3256966719141928,0.3329729391330582,0
